company_name,price
Laser and Light,95
MDNA Life Sciences,95
Eurofins Forensic Services,98.9
Testing For All,105
1 CovClinics,114
Nationwide Pathology Limited,115
Same Day Clinic,115
Dante Labs,116
Everything Genetic Ltd,119
AlphaBiolabs,120
Blindspot Global,120
Randox Laboratories,120
Source BioScience,120
Medicines Online,124
Acethetix Testing Services,125
101 Testing,132
Healthium Clinics,134
Abicare Health Solutions Ltd (Riva Health),135
Sirkka Networks Limited,135
CHHP and Ceritific,139
Medicines Online Ltd,145
Expert TMS Limited,148
Atruchecks,149
Everything Genetic,149
Medical Diagnosis,149
247HomeTesting,150
Biogroup Laboratory,150
Coronafocus by Oncologica UK,150
HarveyRhys Clinic,150
Medi-Park Clinic,150
Screen4,150
001 Covid Test,155
1 Stop Covid Shop,155
1Rapid Clinics,155
Atlas Medical Services Ltd,155
Fakir Chemist,155
Live COVID Testing,155
Masters Pharmacy,155
My Local Travel Clinic,155
Nationwide Pathology,155
Nechells Pharmacy and Masters Pharmacy,155
OscarTech UK,155
Pennfields Pharmacy,155
Weston Road Pharmacy,155
Assured Screening,159
Concepto Clinic,159
Healthyaa Clinic,159
IQ Doctor,159
Optimized Body & Mind,159
10 Harley LinkNurse Clinic London,160
Biotherapy Services,160
Boots UK,160
Citydoc Medical,160
Expert Medicals,160
Rainbow Labs,160
Rapid Covid Testing,160
Project Screen by Prenetics,164
258 Postal Racoo Screening Ltd,165
Collinson,165
LabMedExpert,165
T Consultants,165
The Travel Health Clinic,165
001 Covid Test,169
1010Labs,169
Anglia DNA Services,169
Covid Clear Clinic,169
Covid Smart Limited,169
FitnessGenes,169
Medwyn Occupational Health,169
Outcome Diagnostics,169
Quick Clinics,169
Check My Body Health,170
CTM (NHS T&T),170
My Private Chemist,170
MyHealthChecked,170
NL Clinic,170
PharmaSuite,170
Your GP Circle,170
1 Health Hub,175
Biogroup Laboratory,175
Chronomics,175
Consultant Clinic,175
Covitests,175
DNA Workplace,175
Doctorcall Limited,175
Evolve Medical,175
Heathrow Medical Services,175
London Corona Test Centre,175
PCT Healthcare,175
Research Consultancy and Health Ltd,175
Roshni Clinic,175
Your Health First,175
Brunswick Hygiene,178
Rapid PCR,178
1010Labs,179
Midland Health,179
Optipharm Pharmacy,179
The Health Clinic by AR,179
Anglo Belgravia,180
Church Pharmacy,180
Confirm Testing,180
me360 Testing Services,180
Nomad Travel,180
Thechemistlive.co.uk,180
John Bell & Croyden,185
Mobihealth International,185
RapidityDX,185
SYNLAB,185
ADVISA MEDICA,188
Baseline Medicine,189
"Cheltenham, Worcester and West Midlands Travel Clinics",189
Collingwood Health,189
ExpressTest by Cignpost Diagnostics,189
I-Gen Testing,189
London Medical Laboratory,189
Mare St Clinic,189
Medplus Test,189
Barkerhouse Pharmacy,190
Blackburn Travel Clinic,190
C19 Testing,190
CHB Medical,190
CT24 Solutions Ltd,190
Flow Living Medi-Care Services,190
Minton Treharne & Davies Laboratories,190
Newcastle Premier Health,190
TP Healthcare Services,190
Trio Pharmacy,190
Yakub Chemist,190
CovGuard,194
AccendoLAB Limited,195
Blue Horizon Medicals,195
Cov19 Care,195
Dears Pharmacy & Travel Clinic,195
Doctor Driver Assessment LTD,195
Fusion Pharmacy,195
Future Health Technologies,195
G16 COVID Testing,195
Just Health,195
London Screening Street,195
North and North West London Covid Tests,195
North Devon Travel Clinic,195
The Medic Clinic,195
Travel Centre,195
UK Event Medics,195
Fusion Radiology,196
20/30 Labs,198
3SIX Health,198
Ask Chemist,198
Avante Health Private GP,198
Biograd Diagnostic Laboratories,198
Elements Medical,198
GPDQ,198
Leeds COVID testing,198
Physiofunction,198
Qured,198
Rosalyn’s Medical and Wellbeing Clinic,198
04 Medical Testing,199
121 Pure Testing,199
Covid Testing Laboratories,199
Cryo Express,199
Easy Testing,199
Family Medics,199
London Covid Testing,199
New Street Pharmacy,199
Northend Clinic,199
Reviv UK,199
Summerfield Healthcare,199
The Guildhall Practice,199
The Health Suite,199
Vivo Clinic,199
World Travel Clinic,199
Ambutech Pre-Hospital Care,200
Candarin Medical,200
Global Health Travel Clinic,200
Good Egg Medical,200
Home2Lab,200
Pulmonics,200
Pyramid Pharmacy,200
Ramss,200
The Express Clinic,200
The Montague Clinic,200
C & H Esher Ltd,205
Better2Know,209
Your Private Health,209
12-14 Pharmacy,210
AF Aesthetics (Enoura Medical),210
Avicenna Health,210
Centennial Medical Care,210
Clinicare UK,210
Concierge Medical,210
Easter Pharmacy,210
Global Express Travel Health Clinic,210
Harley Street Nurses,210
Harleys Pharmacy,210
Linbury Doctors,210
Local PCR,210
London Elite Health,210
Longridge Travel Health Clinic,210
Lord's Pharmacy,210
MyHealthcare Clinic,210
Olive Health & Travel Clinic,210
Pexpo Diagnostics,210
Private GP Clinic,210
Rightangled,210
Tuli Health,210
Vanite Clinic,210
Wren Healthcare,210
WREN HEALTHCARE,210
Xana Medtec,210
Zen Healthcare,210
ZoomDoc,210
Goodbody Clinic,215
Doctors Clinic Group,219
Medicspot,219
1 NHL Pharmacy,220
Advisa Medica,220
First Medical Consultants,220
Hampshire Travel Clinic,220
"Hampstead Heath Pharmacy, Travel Health & Vaccination Clinic",220
Healthwork,220
Ingleton Pharmacy,220
Southdowns Private Healthcare,220
The Regenerative Clinic,220
Top Health Clinic,220
Well Pharmacy (Bestway National Chemists),220
Corporate Covid Tests,225
Kings Medical Centre,225
Medinow,225
DocTap,228
Corona Test Centre,229
Mildcare Ltd,229
Bansals Pharmacy,230
Black and Banton,230
"Dr Wayne Cottrell, Private GP Canary Wharf",230
East Midlands Laser and Cosmetic Clinic Ltd,230
Leigh Broadway Pharmacy (Elm Road),230
London Nutrition Doctor,230
Mayfair Doctors,230
Shantys Pharmacy,230
South West London COVID-19 Centre,230
The Walcote Practice,230
Travel Klinix,230
Agilis Health,234
100 Covid Clear,239
Caxton Pharmacy,240
Medic Testing,245
Sloane Street Testing,245
Coyne Medical,249
Mayfield Clinic,249
Tower Bridge Wellness Pharmacy,249
Calder Pharmacy & Medspa Clinic,250
Ghosh Medical Group,250
Heart Lung Centre,250
Moore Medical Practice,250
One5 Health,250
PCR Labs,250
Private GP Teddington,250
Remedi Health,250
SKC Occupational Health,250
The Pharmacy at Mayfair and Clinic,250
ViTOX,250
Winchester GP,250
The London General Practice,260
Westwood Pharmacy,269
Courtfield Private Practice,270
29 Fleet Street Ltd,275
Dr Tim Lebens,290
MSI Clinics,290
Samedaydoctor,290
Samedaydoctor City Clinic,290
Samedaydoctor Manchester,290
Cosmebeaute,298
Medic 1 Direct,298
Knightsbridge Pharmacy,300
The Whitehall Clinic,300
Coker Chest clinic,310
North Devon Travel Clinic,320
Sloane Square Medical,325
HealthClic,345
CHT,349
London Medical Concierge,358
Dr Mo Private Clinic,378
MK18 Private Medical Practice,390
The Mayfair GP Clinic,575
