company_name,price
DIGITAL HEALTH GROUP LTD t/a Pharma Diagnostics,24
Blindspot Global,25
123tests.co.uk,27
I-Gen Testing Limited,29
1 AFFORDABLETEST.COM,34.99
Confirm Testing,35
Anglia DNA Services,40
1 Stop Covid Shop,45
Abicare Health,45
LIVE COVID TESTING,55
004 Medical Testing,59.99
0044 COVID Test,60
DNA Workplace,60
Your Health First Ltd,60
AIS Covid Testing Ltd,68
Expert Medicals,70
101 Testing,75
Covidfly,75
1Corporate Covid Tests,84
Dante Labs,84
Kurix Health,84
Medicines Online Ltd,84
Andres Pharmacy,85
LABMEDEXPERT LIMITED,85
Mobihealth International,85
Healthium Clinics,86
Randox Health Airport Testing,86
Randox Laboratories Ltd,86
Brunswick Hygiene,89
IQDOCTOR,89
Now Test,90
OPTIMIZED BODY & MIND,90
Doctor Driver Assessment LTD,94.50
A1 Track&Travel,95
Good Egg Medical,95
1st Class Testing,98
Eurofins,98.90
A Hasu Diagnostics,99
Future Health Technologies Limited,99
Nomad Travel,99
Protein Technologies Ltd / RapidityDX,99
Testing For All,99
The Montague Clinic,99
1010Labs,99.99
BioGrad diagnostics,100
Katalyst Laboratories,100
Coronafocus by Oncologica UK Ltd (t/a Oncologica UK Ltd),105
NUTRACEUTICALS LABORATORY LONDON LIMITED,105
Screen4,105
COVID TESTING LABORATORIES,110
Locaton Medical Services Ltd,110
Harley Street Nurses Ltd,111
Nationwide Pathology Limited,111
Apollo Testing,115
EXPERT DOCTORS,117.99
Better2Know,119
Everything Genetic Ltd,119
ME360 HEALTHCARE LIMITED T/A me360 Testing Services,119
Outcome Diagnostics (OutcomeDx),119
PeploBio,119
Reading Fit to Fly/Oxford Road Clinics Ltd,119
UK Health Testing,119
C-19 Direct UK Lab Alliance by Cambrige Clinical Laboratories & Nonocus,119.95
Expert TMS Limited,119.99
001 Covid Test,120
AccendoLAB Limited,120
La Perla Clinic,120
Private Harley Street Clinic,120
Rainbow Labs,120
Randox Health London Limited,120
Source BioScience,120
The Bridge Clinic,120
1West End Medical Practice UK Ltd,124
BRISTOL TRAVEL CLINIC,125
CK DOCTORS COVID TRAVEL CLINICS,125
LONDON CORONA TEST CENTRE,125
1Rapid Clinics,126
247HomeTesting,129
Baseline Medicine,129
Cignpost Diagnostics,129
ExpressTest by Cignpost Diagnostics,129
NL Clinic,129
AlphaBiolabs,130
"NIVHA Laboratory Services Ltd, RANDOX",130
Premier Clinic Ltd,130
Site LT,130
Sorcha Biotech,130
Tamsel (UK) Ltd,130
A1 Global Testing Limited,133.99
CityDoc Medical Limited,134
3A Covid Testing Limited,135
Sirkka Networks Limited,135
TP Healthcare Services Ltd,135
ZAVA,138
118testing,139
MHF Medical Concierge,139
OscarTech UK,139
HHH Diagnostics,139.99
CHB Medical Ltd,140
Minton Treharne & Davies Laboratories Limited,140
T Consultants LTD,140
THE HEALTH CLINIC BY AR,140
JDoc Medical Limited ( T/A JDoc365),145
Northend Clinic,145
Recovery4Life,145
All Healthcare,147
All Healthcare,147
Advisa Medica,148
Healthyaa Clinic,148
The Health Suite,148
123Clinics,149
Aeromedical Consulting UK,149
Bupa Occupational Health Ltd,149
CQ DOCTOR,149
FitnessGenes,149
Quick Clinics,149
Travel Test Centre Ltd,149
Worldwide Travel Health Clinic,149
107 Harley Street,150
247 Travel Tests,150
Biogroup Laboratory,150
Biolab London Ltd,150
Blackburn Travel Clinic,150
Elements Medical,150
Fit to Fly UK,150
Fusion Radiology Ltd,150
Heald Green Pharmacy,150
Midlands Ultrasound and Medical Services,150
PExpo Diagnostics,150
Qured,150
The New Foscote Hospital,150
UK EVENT MEDICS LTD,150
Kings Medical Centre,154
Project Screen by Prenetics,154
101 Covid Travel Clinic,155
Fakir Chemist,155
Masters (UK) Limited t/a Nechells Pharmacy and Masters Pharmacy,155
My Local Travel Clinic,155
Pennfields Pharmacy,155
Pharmacy led clinic,155
west midlands,155
Klarity,155.92
Xana Medtec Ltd,156
121 Covicall,159
ARRIVING UK,159
Ask Chemist,159
AssuredScreening.com,159
"Cheltenham, Worcester & West Midlands Travel Clinics",159
Concepto Clinic,159
D&A Screening Ltd,159
Enoura Medical (AF Aesthetics),159
FAMILY MEDICS,159
Forensic Genomics Innovation Hub Ltd,159
Halo Verify,159
One Scientific Ltd,159
Optipharm Pharmacy,159
VSM Pharmacy,159
000 Book A Travel Test,159.99
The City & Travel Clinic,159.99
The Travel Health Clinic,159.99
10 HS LinkNurse Clinic LONDON,160
Biotherapy Services,160
Boots UK,160
Check My Body Health,160
Coker Chest Clinic,160
Heathrow Medical Services,160
Helix Services Limited also t/a Travel Test Assured,160
Orchard Clinic / Orchard Blood,160
pulmonics,160
Scotnursing & Medical Services (SNMS),160
Collinson,165
DGC Health LTD,165
SYNLAB,165
Test Assurance Group,165
Test For Now LTD,165
Tuli Health,165
Vaccination UK Ltd,165
The Clinic MK Ltd,168
CLARET DIAGNOSTICS LTD,169
Covid Clear Clinic,169
Covid Smart Limited,169
Medwyn Occupational Health,169
Fit2fly24/7 Ltd,169.98
Sterling Testing,169.99
Audley pharmacy,170
CTM (NHS T&T),170
Daya Pharmacy,170
MyHealthChecked,170
Northway Clinic,170
PharmaSuite,170
Travel Centre Clapham Ltd,170
World Travel Clinic,170
Your GP Circle,170
1 Health Hub,172
"T/A Nash Travel, Tourism and Transport Services Ltd",174.99
AGG Coventry ltd ta Vantage Chemist,175
Amin Pharmacy,175
Covid19 Checking,175
Covitests,175
Doctorcall Limited,175
Evolve Medical,175
JS Biomedical Ltd,175
Mediscan Diagnostic Services,175
NPH Group,175
"PCT Healthcare t/a Peak Pharmacy, Manor Pharmacy, Cox-Robinson Pharmacy",175
Pharmesthetics Ltd,175
Research Consultancy and Health Ltd,175
Roshni Clinic,175
YPCHealth,175
100 Covid Clear,178
Rapid PCR,178
ZoomDoc Health,178
National Covid Testing (Klinical Enterprises Ltd),178.20
3SIX Health,179
MedChecks,179
Midland Health,179
SomDoc Ltd / Home2Lab,179
1 CovClinics,180
AlphaMedicol Ltd,180
C19 TEsting,180
CALDER PHARMACY & MEDSPA CLINIC of NOTTING HILL,180
Church Pharmacy Weybridge,180
Easter Pharmacy,180
Hawkes Health,180
Longridge Travel Health Clinic,180
New Street Pharmacy T/A The Travel Vaccine Room,180
NX Healthcare,180
Thechemistlive.co.uk,180
Est-Health Wellness Clinic,185
London Vaccination Clinic,185
MASTA,185
Polaris Medical Services Ltd,185
Well Pharmacy (Bestway National Chemists Ltd),185
UKCOVIDTEST,186.50
TAC HEALTHCARE GROUP,188
Collingwood Health,189
London Medical Laboratory,189
Mare St Clinic,189
Medplus Test,189
COVIDO,190
Flow Living Medi-Care Services,190
NHL Pharmacy,190
Nottinghamshire,190
SKC occupational Health Oxford,190
Trio Pharmacy,190
Vitacheck,190
Yakub Chemist,190
CovGuard,194
Acorn Occupational Health ltd,195
Blue Horizon Medicals,195
CLNQ,195
COV19care Ltd,195
Dears Pharmacy & Travel Clinic,195
EASY TESTING LTD,195
Fusion Pharmacy,195
Just Health,195
My Private Chemist,195
Quick Meds,195
RB Health and Safety Solutions Ltd,195
RB Healthcare LTD,195
The Medic Clinic,195
The Palace gate Practice Limited,195
Alexandru Livinschi (t/a Bai Long Ltd),198
Avante Health Ltd,198
Circular 1 Health LTD,198
Doctors Clinic Group,198
"Dr Wayne Cottrell, Private GP Canary Wharf",198
Effect Doctors,198
GPDQ Ltd,198
Leeds COVID Testing Ltd,198
Physiofunction,198
Rosalyn’s Medical and Wellbeing Clinic,198
0000Covid 19 private test Ltd,199
121 Pure Testing,199
20/30 Labs,199
COVID19 HEALTH CLINICS LIMITED,199
COVID19 Health Clinics Limited,199
Cryo Express,199
Edgbaston Private Medical Practice,199
First Medical Consultants,199
London Covid Testing,199
Pyramid Pharmacy Woolwich,199
Rapid Health Test,199
Reviv UK,199
South West London Covid 19 testing centre,199
Summerfield Healthcare,199
The Guildhall Practice,199
The Melton Clinic,199
Candarin Medical,200
DAJANI PHARMACY,200
EdgCARE Private Community Family Doctors,200
Global Health Travel Clinic - Longcross Surrey,200
Oxford Covid Tests,200
Samedaydoctor City Clinic,200
Samedaydoctor Manchester,200
The Express Clinic,200
Zen Healthcare (Purecare Ltd),200
"C & H Esher Ltd t/a Central Pharmacy, Esher",205
dochq.co.uk,205
Lord's Pharmacy,205
Vivo Clinic,205.70
12-14 Pharmacy,210
15 Minute Covid Test,210
Avicenna Health,210
Centennial Medical Care,210
Concierge Medical,210
Global Express Travel Health Clinic,210
Local PCR,210
London Elite Health,210
MDX Healthcare Ltd t/a MEDIX,210
MyHealthcare Clinic,210
Olive Health & Travel Clinic,210
Private GP Clinic,210
PureFlo Health Ltd,210
Solice Health Ltd,210
Solihull Health Check Clinic,210
Vanite Clinic,210
Wren Healthcare,210
Your Private Health,210
Yourhealthfirst Clinic,210
Clear Diagnostics Ltd,215
Goodbody Clinic,215
Shantys Pharmacy,215
RAMSS Limited,216
DocTap Ltd,218
G16 COVID Testing,219
Medicspot,219
Saunders Pharmacy,219
Dorset Private GP,220
Hampshire Travel Clinic,220
"Hampstead Heath Pharmacy, Travel Health & Vaccination Clinic",220
Healthwork Ltd,220
Lyca Health,220
North Devon Travel Clinic,220
Southdowns Private Healthcare,220
The Wellness People Ltd,220
Top Health Clinic,220
Harley Street Dr,225
Med24 Limited,225
Medinow,225
private-testing-providers london cloudapps digital refresh,225
Corona Test Centre,229
Mildcare Ltd,229
MSI Clinics Limited,229
Bansals Pharmacy (Southend on Sea),230
London Nutrition Doctor,230
The Walcote Practice,230
Agilis Health,234
Pyser Testing,234
Chelsea pharmacy Medical clinic,240
Sevenoaks GP t/a The Private GP Clinic,240
258 Postal Racoo Screening Ltd,245
Medic Testing,245
Sloane Street Testing,245
01 Harley Street,249
Coyne Medical,249
Mayfield Clinic,249
Midland Covid Testing,249
Tower Bridge Wellness Pharmacy,249
Elite Safety Clinic,249.99
Aesthetika Clinic,250
An SF Screening and Vaccination Service,250
Dr Shilpa Dave Private GP Teddington,250
Ghosh Medical Group,250
London Screening Centre,250
Mayfair Doctors,250
Medical Logistics / Samedaycoronavirustests.com,250
Moore Medical Practice,250
PCR Labs,250
Queen Anne Street Medical Centre,250
Remedi Health,250
Test To You,250
The Pharmacy at Mayfair and Clinic,250
ViTOX,250
Winchester GP,250
Your Doctor Film and Media,250
Ambulance Services 24 Ltd,260
Medical and Rescue,260
The London General Practice,260
One5 Health,270
The Hove Practice,270
Dr Tim Lebens,273.33
29 Fleet Street Ltd t/a Fleet Street Clinic,275
Sloane Square Medical,275
Mayfair Pharmacy,280
VisitHealth Limited,290
Medic 1 Direct,298
CHT,299
Knightsbridge Pharmacy,300
The Whitehall Clinic,300
HealthClic,345
Chelsea Medical,350
London Medical Concierge,358
Dr Mo Private Clinic,378
MK18 Private Medical Practice,390
ROC Health Services,400
The Mayfair GP Clinic,575
