company_name,price
BioGrad Diagnostics,60
RT Diagnostics,98
A Hasu Diagnostics,99
Testing For All,99
Caliber Medical Services,100
0044 COVID Test,105
1 CovClinics,114
Atlas Medical Services Ltd,115
CT24 Solutions Ltd,115
Nationwide Pathology Limited,115
Nationwide Pathology Limited,115
Same Day Clinic,115
Dante Labs,116
Everything Genetic Ltd,119
AlphaBiolabs,120
Blindspot Global,120
Brunswick Hygiene Ltd,120
My Private Chemist,120
Randox Laboratories,120
Source BioScience,120
1Corporate Covid Tests,125
1Corporate Covid Tests,125
Acethetix Testing Services,125
London Screening Centre,125
Healthium Clinics,129
CityDoc Medical Limited,130
Premier Clinic Ltd,130
Your Health First Ltd,130
101 Testing,132
Abicare Health Solutions Ltd (Riva Health),135
Sirkka Networks Limited,135
001 Covid Test,140
NIVHA Laboratory Services Ltd.,140
Live Covid Testing,141
Rainbow Labs,145
Advisa Medica,148
Expert TMS Limited,148
Atruchecks,149
Medical Diagnosis,149
247HomeTesting,150
Biogroup Laboratory,150
Coronafocus by Oncologica UK Ltd (t/a Oncologica UK Ltd),150
HarveyRhys Clinic,150
JS Biomedical Ltd,150
Medi-Park Clinic,150
Screen4,150
T Consultants Ltd,150
001 Covid Test,155
1 Stop Covid Shop,155
1Rapid Clinics,155
Coker Chest Clinic,155
Fakir Chemist,155
Masters (UK) Limited t/a Nechells Pharmacy and Masters Pharmacy,155
Masters Pharmacy,155
My Local Travel Clinic,155
Nationwide Pathology,155
Nechells Pharmacy and Masters Pharmacy,155
OscarTech UK,155
Pennfields Pharmacy,155
Weston Road Pharmacy,155
ASK CHEMIST,159
Assured Screening,159
Concepto Clinic,159
FitnessGenes,159
Healthyaa Clinic,159
IQ Doctor,159
Optimized Body & Mind,159
10 Harley LinkNurse Clinic London,160
1st Class Testing,160
Biotherapy Services,160
Boots UK,160
Citydoc Medical,160
Expert Medicals,160
Northend Clinic,160
Rapid Covid Testing,160
Project Screen by Prenetics,164
258 Postal Racoo Screening Ltd,165
Collinson,165
LabMedExpert,165
The Travel Health Clinic,165
1010Labs,168
Anglia DNA Services,169
Claret Diagnostics Ltd,169
Covid Clear Clinic,169
Covid Smart Limited,169
Medwyn Occupational Health,169
Outcome Diagnostics,169
Quick Clinics,169
Check My Body Health,170
CTM (NHS T&T),170
Daya Pharmacy,170
Flow Living Medi-Care Services,170
MyHealthChecked,170
NL Clinic,170
PharmaSuite,170
TP Healthcare Services Limited,170
Your GP Circle,170
1 Health Hub,175
Chronomics,175
Confirm Testing,175
Consultant Clinic,175
Covitests,175
DNA Workplace,175
Doctorcall Limited,175
Evolve Medical,175
Heathrow Medical Services,175
London Corona Test Centre,175
PCT Healthcare,175
Research Consultancy and Health Ltd,175
Roshni Clinic,175
Brunswick Hygiene,178
Halo Verify,178
Rapid PCR,178
Midland Health,179
Optipharm Pharmacy,179
The Health Clinic by AR,179
