company_name,price
0-100 Travel 19,20
001 Alpha Express Testing,20
001 DIGITAL HEALTH GROUP LTD t/a Pharma Diagnostics,20
001 Expert Covid Testing UK,20
1010Labs,20
Afforable TFNow,20
Blindspot Global,20
Confirm Testing,20
Corona-Testing,20
EXPERT DOCTORS,20
Medical Covid Test,20
Quest Medical,20
UK Covid Test Centre,20
101 TESTING,25
247HomeTesting,25
BioGrad diagnostics,25
Doctor Driver Assessment LTD,34.99
ALL HEALTHCARE,36
Hale Clinic Harley Street,38
atruchecks,39
.004 Medical Testing,40
1 Covclinics,40
Anglia DNA Services,40
Eurofins,40
PExpo Diagnostic,40
Randox Health LiverpoolONE,43
Fit To Fly UK,45
LIVE COVID TESTING,45
Ace-ThetiX,50
Future Health Technologies Limited,50
NX Healthcare,59
DNA Workplace,60
Medicines Online Ltd,69
Expert Medicals,70
1 Health Hub,74.99
Pillhub-Feltham Pharmacy,79.95
The Bridge Clinic,80
Quick Clinics,82
Dante Labs,84
IQdoctor,84
Kurix Health,84
Daya Pharmacy,85
Mobihealth International,85
Nationwide Pathology Limited,85
OPTIMIZED BODY & MIND,85
Randox Health Airport Testing,86
Randox Laboratories Ltd,86
Brunswick Hygiene,89
Testing For All,89
Now Test,90
I-Gen Testing Limited,98
UK Health Testing,98
0044 COVID Test,99
01HarleyStreet,99
1 Harley Medic International,99
1 Nomad,99
A Hasu Diagnostics,99
"Bansals Pharmacy (Southend on Sea),",99
CALDER PHARMACY & MEDSPA CLINIC OF NOTTING HILL,99
Ghosh Medical Group,99
London Covid Testing,99
Protein Technologies Ltd / RapidityDX,99
The Montague Clinic,99
Katalyst Laboratories,100
Occupational Health Bristol,100
UKCOVIDTEST,104
Coronafocus by Oncologica UK Ltd (t/a Oncologica UK Ltd),105
Lifecrest Ltd trading as (Lifecrest Medical Laboratory),105
LONDON CORONA TEST CENTRE,105
NUTRACEUTICALS LABORATORY LONDON LIMITED,105
Screen4,105
Coop Pharmacy,107
Healthium Clinics,108
1 Corporate Covid Tests,109
1st Class Testing,109
Assured Screening.com,109
Covid Testing Laboraratories,110
Medplus Test,110
Project Olive Lindfield Limited,110
