company_name,price
"#Nomad Travel, using Oncologica",20
".001Expert TMS Limited, using Biograd and Nonacus",20
".001My Express Testing, using nonacus",20
".EXPERT DOCTORS, using Oncologica",20
"0-100 Travel 19, using North London Laboratory",20
"001Expert Covid Testing UK, using Biograd and Nonacus",20
"00Expert TMS Limited, using Biograd and Nonacus",20
"01HarleyStreet, using Circular1",20
"01HarleyStreet, using Circular1",20
"100 Covid Clear, using Salient Bio, Randox, Yourgene",20
"1010Labs, using Circular1 and BioGrad",20
"123 Covid Labs, using Source Bioscience",20
"123Clinics, using Circular1",20
"1AFFORDABLETEST, using ONCOLOGICA UK",20
"Abicare Health, using ABL",20
"Arrival Test Centre, using Oncologica",20
"ArrivingUK, using BioGrad Diagnostics, Randox, EM Analytical",20
"Blindspot Global, using Randox",20
"Complete Covid Tests, using Oncologica",20
"Confirm Testing Limited, using Oncologica",20
"Covid-19 Travel Clinic, using Oncologica",20
"Covid-19 Travel Clinic, using Oncologica",20
"Expert TMS Limited, using Biograd and Nonacus",20
"G16 COVID Testing, using Oncologica, Anglia DNA",20
"My Express testing UK, using Nonacus",20
"UK Health Testing, using Circular1 Health Limited",20
"Covid-19 Travel Clinic, using Oncologica",20.5
"1 Stop Covid Shop, using Oncologica",20.99
"Covid Test Centre, using Source Bioscience, Dante",21
"121 Covicall, using oncologica",22
"HHH Diagnostics, using Circular 1 and Source Bio Science",22
"CK DOCTORS COVID TRAVEL CLINICS, using ONCOLOGICA",23.5
"Anglia DNA Services, using Anglia DNA Services",23.99
".Medical Covid Test, using Source Bioscience",24
"Quick Clinics, using Everything Genetic, Oncologica",24
"Medicines Online Ltd, using Nonacus",24.99
"0044 COVID Test, using Medical Diagnosis",25
"118 Testing, using Oncologica",25
"118TESTING, using Oncologica",25
"247HomeTesting, using North London Laboratory",25
"BioGrad diagnostics, using BioGrad",25
"Nomad Travel, using ONCOLOGICA",25
"UK Health Testing, using Circular1 Health Limited",25.99
"Harley Medic International, using Oncologica and Biogroup",29
"OPTIMIZED BODY & MIND, using NONACUS & ONCOLOGICA",30
"Doctor Driver Assessment LTD, using Oncologica and Nationwide Pathology LTD",34.99
"001 Covid Test, using Oncologica",39
"1 Covclinics, using Oncologica",39.99
"Covidfly, using Nonacus",40
"PExpo Diagnostic, using Salient Bio",40
"Randox Health LiverpoolONE, using Randox Laboratories",43
"Fit to Fly UK, using Randox and Anglia DNA",45
"LIVE COVID TESTING, using Oncologica , Nonacus",45
"0001Ace-ThetiX, using Randox, Oncologica & Nationwide",50
"Future Health Technologies Limited, using Oncologica",50
"DNA Workplace, using Nonacus, Oncologica",60
"Eurofins, using Eurofins using Eurofins Forensic Services Ltd, Eurofins Biomnis UK Ltd, Eurofins County Pathology UK Ltd and working with external partner Dante Labs for sequencing",60
"Expert Medicals, using Oncologica, Nonacus, Expert Medicals",70
"101 Testing, using Nonacus",75
"Dante Labs, using Dante Labs",84
"Kurix Health, using Dante Labs",84
"Andres Pharmacy, using Randox and Alpha bio labs",85
"CT24 Solutions Ltd, using Lab Med Expert Ltd",85
"Daya Pharmacy, using Randox Laboratory and Alpha Bio labs",85
"LABMEDEXPERT LIMITED, using LABMEDEXPERT DIAGNOSTICS",85
"Mobihealth International, using Oncologica and Nationwide Pathology",85
"Nationwide Pathology Limited, using Nationwide Pathology Limited",85
"Randox Health Airport Testing, using Randox Laboratories",86
"Randox Laboratories Ltd, using Randox Laboratories Ltd",86
"Brunswick Hygiene, using Nonacus",89
"IQDOCTOR, using ONCOLOGICA, YOURGENE, RANDOX",89
"Now Test, using Lab Med Expert",90
"Atruchecks, using Eurofins, Oncologica",92
"A1 Track&Travel, using Everythinggenetic and Nonacus",95
"Testing For All, using Nonacus & Dante",95
"1st Class Testing, using Randox, Oncologica",98
"I-Gen Testing Limited, using Oncologica",98
".004 Medical Testing, using Oncologica & Circular 1",99
"004 Medical Testing, using Oncologica & Circular 1",99
"A Hasu Diagnostics, using Nanocus",99
"G16 COVID Testing, using Oncologica, Anglia DNA",99
"Ghosh Medical Group, using Randox and EM Analytical",99
"London Covid Testing, using Biogroup",99
"Protein Technologies Ltd / RapidityDX, using Oncologica and Circular1",99
"The Montague Clinic, using Salient Bio, Medical Diagnosis, Oncologica",99
"Katalyst Laboratories, using Oncologica",100
"Occupational Health Bristol, using Anglia DNA",100
"Coronafocus by Oncologica UK Ltd (t/a Oncologica UK Ltd), using None - all done in house",105
"Lifecrest Ltd trading as (Lifecrest Medical Laboratory), using Lifecrest Medical Laboratory",105
"LONDON CORONA TEST CENTRE, using BIO GROUP",105
"NUTRACEUTICALS LABORATORY LONDON LIMITED, using ONCOLOGICA UK LIMITED",105
"Screen4, using Oncologica",105
"Coop Pharmacy, using Randox Laboratories",107
"1Corporate Covid Tests, using Biogroup, Oncologica & Salient",109
"COVID TESTING LABORATORIES, using NOACUS PEPLOBIO",110
"Medplus Test, using Circular1 and Salient Bio",110
"Project Olive Lindfield Limited, using Oncologica UK Ltd",110
"@Harley Street Nurses (t/a Harley Street Nurses Ltd), using Oncologica & Randox",111
"Healthium Clinics, using Biograd & Andersen Caledonia",112
"C-19 Direct UK Lab Alliance by Cambrige Clinical Laboratories & Nonocus, using C-19 Direct UK Lab Alliance by Cambrige Clinical Laboratories & Nonocus, using Cambridge Clinical Laboratories, Nonacus",114.95
"*Everything Genetic Ltd, using Nonacus",115
"Apollo Testing, using Oncologica",115
"Everything Genetic Ltd, using Nonacus",115
"Proviris Solutions, using Anglia DNA Services",118
