company_name,price
RT Diagnostics,84
Expert Medicals,85
Atruchecks,92
1010Labs,94
100 Covid Clear,95
MDNA Life Sciences (UK) Ltd,95
Sterling Testing,95
Travel Centre Clapham Ltd,95
Travel Centre Clapham Ltd,95
1 Health Hub,98
RT Diagnostics,98
Quick Clinics,99
Testing For All,99
Anglia DNA Services,100
BioGrad Diagnostics,100
0044 Covid Test,105
Nationwide Pathology Limited,111
Expert TMS Limited,112
Healthium Clinics,112
Brunswick Hygiene Ltd,115
CT24 Solutions Ltd,115
Dante Labs,116
Live Covid Testing,116
101 Testing,118
Everything Genetic Ltd,119
Medicines Online Ltd,119
AccendoLAB Limited,120
AlphaBiolabs,120
Coronafocus by Oncologica UK Ltd (t/a Oncologica UK Ltd),120
La Perla Clinic,120
My Private Chemist,120
Rainbow Labs,120
Randox Laboratories,120
Screen4,120
Site LT,120
Source BioScience,120
Medicines Online Ltd,124
1Corporate Covid Tests,125
Hale Clinic Harley Street,130
Premier Clinic Ltd,130
Tamsel (UK) Ltd,130
1Rapid Clinics,134
Abicare Health Solutions Ltd (Riva Health),135
Covid Testing Laboratories Ltd,135
Sirkka Networks Limited,135
001 Covid Test,140
T Consultants LTD,140
Your Health First Ltd,145
AIS Covid Testing Ltd,147
Advisa Medica,148
Advisa Medica,148
Healthyaa Clinic,148
Aeromedical Consulting UK,149
Bupa Occupational Health Ltd,149
D&A Screening Ltd,149
Medical Diagnosis,149
1 Stop Covid Shop,150
247 Travel Tests,150
247HomeTesting,150
Biogroup Laboratory,150
HarveyRhys Clinic,150
Heald Green Pharmacy,150
T Consultants Ltd,150
I-Gen Testing Limited,154
.0001 Ace-ThetiX,155
101 Covid Travel Clinic,155
Consultant Clinic,155
Fakir Chemist,155
Masters (UK) Limited t/a Nechells Pharmacy and Masters Pharmacy,155
Masters Pharmacy,155
My Local Travel Clinic,155
Nechells Pharmacy and Masters Pharmacy,155
OscarTech UK,155
Pennfields Pharmacy,155
Ask Chemist,159
Assured Screening,159
Concepto Clinic,159
FitnessGenes,159
Halo Verify,159
IQ Doctor,159
ME360 Healthcare Ltd T/A me360 Testing Services,159
000 Book A Travel Test,159.99
10 Harley LinkNurse Clinic London,160
Biotherapy Services,160
Boots UK,160
CityDoc Medical Limited,160
Northend Clinic,160
OPTIMIZED BODY & MIND,160
Project Screen by Prenetics,164
A1 Global Testing Limited,164.99
258 Postal Racoo Screening Ltd,165
Collinson,165
LabMedExpert,165
SYNLAB,165
The Travel Health Clinic,165
TP Healthcare Services Ltd,165
The Clinic MK Ltd,168
Claret Diagnostics Ltd,169
Covid Clear Clinic,169
Covid Smart Limited,169
Medwyn Occupational Health,169
Outcome Diagnostics,169
Fit2fly24/7 Ltd,169.98
Andres Pharmacy,170
Audley pharmacy,170
Check My Body Health,170
CQ Doctor,170
CTM (NHS T&T),170
Daya Pharmacy,170
Flow Living Medi-Care Services,170
MyHealthChecked,170
NL Clinic,170
PharmaSuite,170
Remedys Pharmacy,170
Your GP Circle,170
AGG Coventry ltd ta Vantage Chemist,175
Chronomics,175
Confirm Testing,175
Covitests,175
DNA Workplace,175
Evolve Medical,175
Heathrow Medical Services,175
JDoc Medical Limited (t/a JDoc365),175
JS Biomedical Ltd,175
London Corona Test Centre,175
Mediscan Diagnostic Services,175
PCT Healthcare,175
Pharmesthetics Ltd,175
Research Consultancy and Health Ltd,175
Roshni Clinic,175
Halo Verify,178
Rapid PCR,178
MedChecks,179
Midland Health,179
Optipharm Pharmacy,179
The Health Clinic by AR,179
Worldwide Travel Health Clinic,179
Anglo Belgravia,180
Blackburn Travel Clinic,180
Caxton Pharmacy,180
Church Pharmacy,180
Easter Pharmacy,180
Midlands Ultrasound and Medical Services,180
Nomad Travel,180
NX Healthcare,180
Thechemistlive.co.uk,180
"Covid Fit to Fly tes T/A Nash Travel, Tourism and Transport Services Ltd.",184.99
Est-Health Wellness Clinic,185
Genesis Support (t/a Fit to Fly UK),185
MASTA,185
Mobihealth International,185
Polaris Medical Services Ltd,185
4 Medical Testing,189
Baseline Medicine,189
"Cheltenham, Worcester and West Midlands Travel Clinics",189
Collingwood Health,189
Doctor Driver Assessment LTD,189
Expresstest By Cignpost Diagnostics,189
Good Egg Medical,189
London Medical Laboratory,189
Mare St Clinic,189
Medplus Test,189
Barkerhouse Pharmacy,190
C19 Testing,190
CHB Medical,190
CHB Medical Ltd,190
CHB Medical Ltd,190
COVIDO,190
Flow Living Medi-Care Services,190
Minton Treharne & Davies Laboratories Limited,190
Newcastle Premier Health,190
Nottinghamshire,190
SKC Occupational Health Oxford,190
Trio Pharmacy,190
UK Event Medics Limited,190
Yakub Chemist,190
1 CovClinics,194
CovGuard,194
Acorn Occupational Health ltd,195
Blue Horizon Medicals,195
COV19care Ltd,195
Dears Pharmacy & Travel Clinic,195
Easy Testing,195
Easy Testing Ltd,195
Fusion Pharmacy,195
Future Health Technologies,195
G16 COVID Testing,195
Just Health,195
North and North West London Covid Tests,195
Quick Meds using LabMedExpert,195
The Medic Clinic,195
The Palace gate Practice Limited,195
Travel Centre,195
Xana Medtec,195
Fusion Radiology,196
One Scientific Ltd,196
3SIX Health,198
Avante Health Ltd,198
Circular 1 Health LTD,198
Covid Testing Laboratories,198
Elements Medical,198
GPDQ,198
Leeds COVID Testing Ltd,198
Physiofunction,198
Qured,198
Rosalyn’s Medical and Wellbeing Clinic,198
ZoomDoc,198
121 Pure Testing,199
20/30 Labs,199
Covid 19 Private Test Ltd,199
Covid 19 Private Test Ltd,199
Cryo Express,199
Edgbaston Private Medical Practice,199
London Covid Testing,199
New Street Pharmacy,199
Rapid Health Test,199
Reviv UK,199
Summerfield Healthcare,199
The Guildhall Practice,199
The Health Suite,199
The Melton Clinic,199
World Travel Clinic,199
Ambutech Pre-Hospital Care,200
Candarin Medical,200
Dajani Pharmacy,200
DAJANI PHARMACY,200
DGC Health LTD,200
Global Health Travel Clinic,200
Global Health Travel Clinic - Longcross Surrey,200
Oxford Covid Tests,200
Pulmonics,200
Pyramid Pharmacy,200
The Express Clinic,200
The Montague Clinic,200
Zen Healthcare (Purecare Ltd),200
C & H Esher Ltd,205
Vivo Clinic,205.7
Better2Know,209
Your Private Health,209
12-14 Pharmacy,210
15 Minute Covid Test,210
AF Aesthetics (Enoura Medical),210
Avicenna Health,210
Centennial Medical Care,210
Clinicare UK,210
Concierge Medical,210
Global Express Travel Health Clinic,210
Harleys Pharmacy,210
Hawkes Health,210
Linbury Doctors,210
Local PCR,210
London Elite Health,210
Longridge Travel Health Clinic,210
Lord's Pharmacy,210
MDX Healthcare Ltd t/a MEDIX,210
MyHealthcare Clinic,210
Olive Health & Travel Clinic,210
Pexpo Diagnostics,210
Private GP Clinic,210
PureFlo Health Ltd,210
Rightangled,210
Solice Health Ltd,210
Solihull Health Check Clinic,210
Tuli Health,210
Vanite Clinic,210
Wren Healthcare,210
Clear Diagnostics Ltd,215
Goodbody Clinic,215
Doctors Clinic Group,219
First Medical Consultants,220
Hampshire Travel Clinic,220
"Hampstead Heath Pharmacy, Travel Health & Vaccination Clinic",220
Healthwork Ltd,220
Home2Lab,220
Ingleton Pharmacy,220
Medi-Park Clinic,220
NHL Pharmacy,220
North Devon Travel Clinic,220
Pyramid Pharmacy Bermondsey,220
Southdowns Private Healthcare,220
The Regenerative Clinic,220
Top Health Clinic,220
Well Pharmacy (Bestway National Chemists Ltd),220
Med24 Limited,225
Medinow,225
DocTap Ltd,228
Corona Test Centre,229
Mildcare Ltd,229
Black and Banton,230
"Dr Wayne Cottrell, Private GP Canary Wharf",230
East Midlands Laser and Cosmetic Clinic Ltd,230
London Nutrition Doctor,230
Mayfair Doctors,230
Shantys Pharmacy,230
South West London Covid 19 testing centre,230
South West London COVID-19 Centre,230
The Walcote Practice,230
Travel Klinix,230
Agilis Health,234
Chelsea pharmacy Medical clinic,240
Dorset Private GP,240
RAMSS Limited,240
RAMSS Limited,240
Sevenoaks GP t/a The Private GP Clinic,240
Medic Testing,245
Sloane Street Testing,245
Coyne Medical,249
Mayfield Clinic,249
Midland Covid Testing,249
Tower Bridge Wellness Pharmacy,249
CALDER PHARMACY & MEDSPA CLINIC of NOTTING HILL,250
Dr. Shilpa Dave Private GP Teddington,250
Ghosh Medical Group,250
Heart Lung Centre,250
London Screening Centre,250
Medical Logistics / Samedaycoronavirustests.com,250
Moore Medical Practice,250
PCR Labs,250
Private Harley Street Clinic,250
Remedi Health,250
The Pharmacy at Mayfair and Clinic,250
ViTOX,250
Winchester GP,250
Medical and Rescue,260
The London General Practice,260
Westwood Pharmacy,269
Courtfield Private Practice,270
The Hove Practice,275
Aesthetika Clinic,280
Mayfair Pharmacy,280
One5 Health,280
Dr Tim Lebens,290
MSI Clinics,290
Samedaydoctor Canary Wharf,290
Samedaydoctor City Clinic,290
Samedaydoctor Manchester,290
VisitHealth Limited,290
Medic 1 Direct,298
Knightsbridge Pharmacy,300
Occupational Health Bristol,300
The Whitehall Clinic,300
Coker Chest Clinic,310
Sloane Square Medical,325
HealthClic,345
CHT,349
Chelsea Medical,350
London Medical Concierge,358
Dr Mo Private Clinic,378
MK18 Private Medical Practice,390
